How does the 'Precision Logic' text define a 'Type 1' decision?,"A high-stakes, irreversible decision often referred to as a 'one-way door'."
"According to Jeff Bezos, how should 'Type 2' decisions be handled?",They should be made quickly by individuals or small groups using judgment.
What 'tax' do organizations pay when they apply Type 1 processes to Type 2 decisions?,A tax in speed and organizational agility.
Which cognitive trap involves continuing an activity solely because of resources already invested?,Sunk cost fallacy.
"In economics, how is revenue calculated at a specific market point?",$Revenue = Price \times Quantity$
Under what condition is demand considered 'inelastic'?,When an increase in price leads to higher total revenues.
How do 'accounting costs' differ from 'economic costs'?,Economic costs include both explicit costs and the opportunity costs of alternatives.
What is another common name for 'marginal revenue' in a market without power?,Price.
A constraint in the short run that prevents a business from increasing production is known as a(n) _____.,Limiting factor
What economic concept describes the reduction in average cost per unit as the scale of production increases?,Economies of scale.
"According to the 'Bones in Spreadsheets' lesson, which financial statement 'tells the truth' compared to the 'story' of the income statement?",The Balance Sheet.
The formula for the 'Quick Ratio' is most likely used to measure what?,Short-term liquidity using only the most liquid assets.
"In the 'Oxygen' startup example, if a firm has $\$240K$ and burns $\$40K$ monthly, what is its runway?",6 months.
Why is capital considered the 'most expensive' lever for extending runway?,It often requires giving up equity or taking on high-interest debt.
What is the purpose of the 'Decision Quality Six' framework?,"To ensure decisions have the right frame, alternatives, data, values, logic, and commitment."
Formula: Percent change in price (Midpoint method),$[\frac{(P2 - P1)}{( (P2 + P1) / 2 )}] \times 100$
"If a firm sells one unit for $\$50$ and two units for $\$45$ each, what is the marginal revenue of the second unit?",$$40$.
Which level of production maximizes profits in a standard total cost/total revenue graph?,The point where marginal cost equals marginal revenue.
What does the 'precautionary principle' state regarding policy making?,Policies should err on the side of caution when there is a risk of a catastrophic outcome.
"In the 'Receivables In' worked example, how much cash is freed by dropping DSO from 60 to 45 days for an agency with $\$1M$ monthly revenue?","$$500,000$."
Which industry benchmark for DSO is typically the longest?,Construction ($90+$ days).
What action is recommended for accounts receivable that are over 60 days old?,Chase them aggressively.
Why should a company avoid 'anchoring' in decision making?,It causes them to rely too heavily on the first piece of information offered.
"In the LTV formula, what does 'average lifespan' refer to?",The typical duration a customer continues to do business with the company.
What happens to the breakeven point if fixed costs increase?,The breakeven point increases (more units must be sold).
How do variable costs behave as production increases?,They increase in total but typically stay constant per unit.
Which financial metric is defined as NOPAT divided by Invested Capital?,Return on Invested Capital (ROIC).
A sale is not truly a sale until _____.,The cash is in the bank
Which type of data analysis answers 'what will happen'?,Predictive analytics.
What is the primary difference between a 'funnel' and a 'loop' in growth strategy?,"Funnels leak over time, while loops reinvest outputs to create compounding growth."
"In capital allocation, what should a CEO do with the next dollar if internal ROIC is lower than the cost of capital?",Return the cash to shareholders via dividends or buybacks.
